,,,,CME Globex Product Reference,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"April 28, 2025",,,,,,,,,,,,,,,,,,,,,,,
,Futures   /   Options,EXCHANGE,,Globex Symbol,Group Code (tag 1151),Strategy Type*,Implied Eligible*,Minimum Futures Tick and Options Minimum or Inner Tick ,Value of a Minimum Futures Tick and Options Minimum or Inner Tick*,Algorithm*,Top Order Percent Allocation,Top Order Allocation Minimum,Top Order Allocation Maximum,FIFO Percent Allocation,Pro-rata Percent Allocation,Pro-rata Minimum Allocation,Residual Allocation - Pro Rata Leveling/FIFO,Price Banding*,Protection Point,Velocity Logic (narrow)*,Velocity Logic (Wide)*,Enhanced Market Integrity Controls,Maximum Quantity,FixFast 2.8 Channel,Minimum Quantity,Market Segment ID (tag 1300),MDP 3.0 Channel,Stop Price Value (Stop Logic Value)
Agriculture ,Futures,,Instrument,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture ,Futures,CBOT,Grains and Oilseeds (CBOT),,,,,,,,,, ,,,,,, ,,,,,,,,,
Agriculture ,Futures,CBOT,Corn Futures,ZC,ZC,Outright,"Yes, Note 1",0.0025,$12.50,K,100%,1,500,40%,60%,1,Leveling,0.0975,0.0500,0.0975,0.2000,No,"1,999",111,1,70,340,0.1000
Agriculture ,Futures,CBOT,Corn Futures,ZC-ZC,ZC,SP,"Yes, Note 1",0.0025,$12.50,K,100%,1,3000,40%,60%,1,FIFO,0.0250,0.0125,0.0250,0.1500,No,"10,000",111,1,70,340,0.1000
Agriculture ,Futures,CBOT,Corn Futures,ZC:BF,ZC,BF,"Yes, Note 1",0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0400,0.0200,0.0400,0.1200,No,"1,000",111,1,70,340,0.1000
Agriculture ,Futures,CBOT,Corn Futures,ZC:CF,ZC,CF,No,0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0250,0.0075,0.0250,0.0750,No,"1,000",111,1,70,340,0.0125
Agriculture ,Futures,CBOT,KC Hard Red Winter (HRW) Wheat Futures,KE-ZC,KE,IS,"Yes, Note 1",0.0025,$12.50,K,100%, 1 , 100 ,40%,60%,1,Leveling,0.0975,0.0500,0.0975,0.3000,No,"2,500",111,1,70,340,0.1000
Agriculture ,Futures,CBOT,Micro Corn Futures,ZC-MZC,ZC,AE,"Yes, Note 1",0.005,$2.50,K,100%,1,100,40%,60%,1,Leveling,2.5,1.5,2.5,15.0,No,"10,000",111,1,70,340,0.01250
Agriculture ,Futures,CBOT,Corn TAS,ZCT,TP,Outright,No,0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0200,0.0100,,,No,"1,999",111,1,70,340,0.0000
Agriculture ,Futures,CBOT,Corn TAS,ZCT-ZCT,TP,EC,No,0.0025,$12.50,K,100%,1,100,40%,60%,1,FIFO,0.0200,0.0100,,,No,"1,999",111,1,70,340,0.0000
Agriculture ,Futures,CBOT,Mini-sized Corn Futures,XC,XC,Outright,"Yes, Note 1",0.00125,$1.25,K,100%,1,100,40%,60%,1,Leveling,0.09750,0.05000,0.09750,0.30000,No,"1,000",111,1,70,340,0.10000
Agriculture ,Futures,CBOT,Mini-sized Corn Futures,XC-XC,XC,SP,"Yes, Note 1",0.00125,$1.25,K,100%,1,100,40%,60%,1,FIFO,0.09750,0.05000,0.09750,0.30000,No,"2,500",111,1,70,340,0.10000
Agriculture ,Futures,CBOT,Mini-sized Corn Futures,XC:BF,XC,BF,"Yes, Note 1",0.00125,$1.25,K,100%,1,100,40%,60%,1,Leveling,0.04000,0.00750,0.04000,0.30000,No,"2,500",111,1,70,340,0.01250
Agriculture ,Futures,CBOT,Micro Corn Futures,MZC,ZC,Outright,"Yes, Note 1",0.0050,$2.50,K,100%,1,100,40%,60%,1,Leveling,10.0,5.0,10.0,20.0,No,"1,999",111,1,70,340,0.10000
Agriculture ,Futures,CBOT,Micro Corn Futures,MZC-MZC,ZC,SP,"Yes, Note 1",0.005,$2.50,K,100%,1,100,40%,60%,1,FIFO,2.5,1.5,2.5,15.0,No,"10,000",111,1,70,340,0.10000
Agriculture ,Futures,CBOT,Oats Futures,ZO,ZO,Outright,"Yes, Note 1",0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0975,0.0500,0.0975,0.3000,No,"1,000",117,1,70,340,0.1000
Agriculture ,Futures,CBOT,Oats Futures,ZO-ZO,ZO,SP,"Yes, Note 1",0.0025,$12.50,K,100%,1,100,40%,60%,1,FIFO,0.0250,0.0130,0.0250,0.1500,No,"2,500",117,1,70,340,0.1000
Agriculture ,Futures,CBOT,Oats Futures,ZO:BF,ZO,BF,"Yes, Note 1",0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0400,0.0200,0.0400,0.1200,No,"2,500",117,1,70,340,0.1000
Agriculture ,Futures,CBOT,Oats Futures,ZO:CF,ZO,CF,No,0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0250,0.0075,0.0250,0.4000,No,"2,500",117,1,70,340,0.0125
Agriculture ,Futures,CBOT,Rough Rice Futures,ZR,ZR,Outright,"Yes, Note 1",0.005,$10.00,K,100%,1,100,40%,60%,1,Leveling,0.195,0.100,0.195,0.585,No,"1,000",117,1,70,340,0.200
Agriculture ,Futures,CBOT,Rough Rice Futures,ZR-ZR,ZR,SP,"Yes, Note 1",0.005,$10.00,K,100%,1,100,40%,60%,1,FIFO,0.050,0.025,0.050,0.300,No,"2,500",117,1,70,340,0.200
Agriculture ,Futures,CBOT,Rough Rice Futures,ZR:BF,ZR,BF,"Yes, Note 1",0.005,$10.00,K,100%,1,100,40%,60%,1,Leveling,0.100,0.050,0.100,0.300,No,"2,500",117,1,70,340,0.200
Agriculture ,Futures,CBOT,Rough Rice Futures,ZR:CF,ZR,CF,No,0.005,$10.00,K,100%,1,100,40%,60%,1,Leveling,0.050,0.015,0.050,0.150,No,"2,500",117,1,70,340,0.025
Agriculture ,Futures,CBOT,Soybean Futures,ZS,ZS,Outright,"Yes, Note 1",0.0025,$12.50,K,100%,1,500,40%,60%,1,Leveling,0.0975,0.0500,0.0975,0.3000,No,"1,999",117,1,70,340,0.1000
Agriculture ,Futures,CBOT,Soybean Futures,ZS-ZS,ZS,SP,"Yes, Note 1",0.0025,$12.50,K,100%,1,3000,40%,60%,1,FIFO,0.0250,0.0130,0.0250,0.1500,No,"10,000",117,1,70,340,0.1000
Agriculture ,Futures,CBOT,Soybean Futures,ZS:BF,ZS,BF,"Yes, Note 1",0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0400,0.0200,0.0400,0.1200,No,"2,500",117,1,70,340,0.1000
Agriculture ,Futures,CBOT,Soybean Futures,ZS:CF,ZS,CF,No,0.0025,$12.50,K,100%,1,100,40%,60%,1,Leveling,0.0250,0.0075,0.0250,0.0750,No,"2,500",117,1,70,340,0.0125
Agriculture ,Futures,CBOT,Mini-sized Soybean Futures,ZS-MZS,ZS,AE,"Yes, Note 1",0.005,$2.50,K,100%,1,100,40%,60%,1,Leveling,2.5,1.5,2.5,15.0,No,"10,000",117,1,70,340,0.10000
Agriculture ,Futures,CBOT,Soybean Futures,SOM:SI,ZS,SI,"Yes, Note 1",0.0025,$125.00,K,100%,1,100,40%,60%,1,Leveling,0.0400,0.0200,0.0400,0.1200,No,"2,500",117,1,70,340,0.1000
